ano,sigla_uf,regiao,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
2007,TO,Norte,10192843991,1048026263,9144817733,788227745,1665388203,3793627687,2897574105
2008,TO,Norte,12116393284,1248998248,10867395038,1261326965,2004623049,4254777654,3346667389
2009,TO,Norte,13689804411,1275384112,12414420299,1604204165,2152448052,4835961011,3821807075
2010,TO,Norte,16404816089,1595633838,14809182255,1739792183,3104547967,5475260959,4489581140
2011,TO,Norte,18345687727,1788232740,16557454978,2095041404,3205924653,5951369638,5305119282
2012,TO,Norte,20684429940,1967937410,18716492518,2342060958,3468601715,7057594489,5848235360
2013,TO,Norte,23796656415,2155620954,21641035458,2714409677,3595519854,8344506489,6986599442
2014,TO,Norte,26189322646,2440609980,23748712658,3308539779,3760203240,9295407759,7384561885
2015,TO,Norte,28930290798,2634769791,26295521011,3415518078,3819618763,11078011265,7982372906
2016,TO,Norte,31584816193,3053353712,28531462480,3619436934,3805824537,12072217783,9033983216
2017,TO,Norte,34108131985,3256294409,30851837584,4159257924,4544470931,13017362035,9130746691
2018,TO,Norte,35666183075,3554207380,32111975697,4192214978,3942534402,13973142357,10004083953
2019,TO,Norte,39355941217,3817515453,35538425760,5036904246,4211458929,15340214275,10949848314
2020,TO,Norte,43649803218,4140893795,39508909413,8033173625,4408431382,15659235395,11408069014
2002,MA,Nordeste,15924002514,1357799240,14566203273,1867205923,2732201913,6537050283,3429745159
2003,MA,Nordeste,19502900087,1477578876,18025321209,2807839106,3592194272,7597302944,4027984893
2004,MA,Nordeste,22127131812,2028417313,20098714490,3045880420,3446072064,9150714552,4456047450
2005,MA,Nordeste,25104209286,2632824348,22471384944,2997350487,3657457664,10708935641,5107641163
2006,MA,Nordeste,29710643030,3090466120,26620176919,2706961137,6338676224,11604331000,5970208569
2007,MA,Nordeste,30730865778,3472773384,27258092388,3043971203,4958012345,12663966530,6592142316
2008,MA,Nordeste,37932402170,4099429903,33832972267,5004742951,6093113501,15060239332,7674876496
2009,MA,Nordeste,40994570650,4036524973,36958045673,4215842521,6083668499,17310181114,9348353549
2010,MA,Nordeste,46309633109,5198569461,41111063650,4537926598,6883369389,19232100835,10457666823
2011,MA,Nordeste,52143535326,6256742068,45886793261,5141825797,8304009031,20677964845,11762993583
2012,MA,Nordeste,60490108518,7506044012,52984064492,5438768365,10422535222,23975009732,13147751181
2013,MA,Nordeste,67694844541,7665958976,60028885568,6834850842,11376632239,27194495535,14622906954
2014,MA,Nordeste,76842027644,8275696972,68566330687,7384200172,12285257081,32058618371,16838255044
2015,MA,Nordeste,78475993839,8620463445,69855530405,7242279464,13709747710,30615337579,18288165632
2016,MA,Nordeste,85310038137,9401671359,75908366785,6048059567,13175421123,36126351342,20558534753
2017,MA,Nordeste,89542757307,10319768571,79222988731,7508658429,13482702799,36436370016,21795257485
2018,MA,Nordeste,98179495640,11196848427,86982647229,7778786735,16099462005,39616757957,23487640511
2019,MA,Nordeste,97339938019,13050578410,84289359603,7322376639,14568606833,37710898724,24687477417
2020,MA,Nordeste,106915961558,12287742323,94628219236,11572448702,17379117916,39180320014,26496332593
2002,PI,Nordeste,7122634624,815681609,6306953018,425756287,930320653,2735397621,2215478460
2003,PI,Nordeste,8414900525,913831877,7501068635,870564129,899614566,3214488087,2516401842
2004,PI,Nordeste,9406460753,1027237029,8379223721,961742722,1113157258,3544134276,2760189477
2005,PI,Nordeste,10711834495,1210758702,9501075790,913339650,1361033038,4089627647,3137075464
2006,PI,Nordeste,13360478492,1463641548,11896836938,852880544,2452229931,4955081716,3636644754
2007,PI,Nordeste,13736084546,1595517568,12140566976,793147628,1643042315,5203154303,4501222717
2008,PI,Nordeste,16203339851,1882982175,14320357682,1476395188,1604724445,6241445763,4997792303
2009,PI,Nordeste,18946449329,2147216871,16799232465,1581114194,2211153387,7219031024,5787933846
2010,PI,Nordeste,22269149135,2598893659,19670255461,1179327321,3202753448,8793637371,6494537326
2011,PI,Nordeste,25941362396,2789569375,23151793009,1936797417,3781435887,10070815236,7362744483
2012,PI,Nordeste,28637684706,3219282597,25418402106,1993218529,3876111974,11454287830,8094783775
2013,PI,Nordeste,31283593019,3435420593,27848172421,1774815289,3432289131,13068201686,9572866309
2014,PI,Nordeste,37723496640,3739752666,33983743972,2524584634,5402314602,15463028115,10593816610
2015,PI,Nordeste,39149685744,4080794642,35068891098,2734802421,4752012571,15936630213,11645445885
2016,PI,Nordeste,41416936734,4427867590,36989069135,1868311858,4694163220,17798890461,12627703608
2017,PI,Nordeste,45365541026,4852579033,40512961990,3791624993,4919858100,18390211104,13411267787
2018,PI,Nordeste,50378417554,5685663346,44692754195,4438221341,5557652558,19805301504,14891578795
2019,PI,Nordeste,52780784685,5648255450,47132529220,3773393587,5778163095,21456017724,16124954829
2020,PI,Nordeste,56391257063,5804994560,50586262488,5699077548,7058009531,20907298460,16921876934
2002,CE,Nordeste,28718840361,3677581705,25041258656,1885081291,5671628251,11594124567,5890424538
2003,CE,Nordeste,32687418273,4083654857,28603763416,2547351363,6092233782,13366637214,6597541047
2004,CE,Nordeste,36890816202,4691216136,32199600066,2481448783,7459180829,15207679653,7051290794
2005,CE,Nordeste,41059459215,4961206469,36098252752,2480486880,7745461024,17761666560,8110638276
2006,CE,Nordeste,46500320740,6068806475,40431514260,3204300870,8799847307,18898575084,9528790996
2007,CE,Nordeste,50818749012,6528933847,44289815168,2929835500,9522247227,21449457777,10388274664
2008,CE,Nordeste,60415573673,7779531852,52636041820,4027756299,11363224298,24391900063,12853161159
2009,CE,Nordeste,67199958045,8223749560,58976208488,3529843504,13104688189,27707288264,14634388529
2010,CE,Nordeste,79336299281,10157919726,69178379552,3495911332,15177895740,34074268852,16430303616
2011,CE,Nordeste,89695828420,11348411421,78347417009,5097212793,16668369082,38621600354,17960234782
2012,CE,Nordeste,96973752889,12897356131,84076396754,3940265410,17811603544,43285274074,19039253716
2013,CE,Nordeste,109036556353,14166658503,94869897862,4879645426,19347582521,48931355469,21711314443
2014,CE,Nordeste,126054471625,15275680967,110778790649,5763511926,21219778813,58697767319,25097732572
2015,CE,Nordeste,130629848526,15986378537,114643469990,5158506089,22419459354,59941424777,27124079768
2016,CE,Nordeste,138422520662,16622317368,121800203291,5720372247,23383228371,64274032783,28422569899
2017,CE,Nordeste,147921533985,17811517820,130110016160,7487617904,22209937343,69602096495,30810364406
2018,CE,Nordeste,155903824752,18799301794,137104522956,7092296390,24796334454,72770081502,32445810616
2019,CE,Nordeste,163575327180,20447089449,143128237733,7360087951,24407727270,77038375486,34322047031
2020,CE,Nordeste,166914535664,20755739199,146158796452,9508982035,25084342421,75388196172,36177275818
2002,RN,Nordeste,13566803381,1484059537,12082743844,552961814,3583307828,4644959327,3301514873
2003,RN,Nordeste,14865441489,1684219241,13181222257,854468276,3329619319,5362005920,3635128742
2004,RN,Nordeste,17252398422,1956260179,15296138247,899242104,4126394432,6232894227,4037607480
2005,RN,Nordeste,19966918075,2213214835,17753703233,870226514,5095576007,7046830355,4741070374
2006,RN,Nordeste,22890123700,2637958609,20252165091,1000952472,5593218343,8216776564,5441217710
2007,RN,Nordeste,26318258516,2804394384,23513864128,889354111,6684589476,9487809621,6452110922
2008,RN,Nordeste,28898860488,3220838003,25678022486,1016107319,7287362882,10170110932,7204441365
2009,RN,Nordeste,30941053635,3415521121,27525532510,1250770728,5827912273,12295757886,8151091622
2010,RN,Nordeste,36184502368,4035311908,32149190458,1148621887,7683076087,14253228301,9064264192
2011,RN,Nordeste,40992924913,4589900715,36403024207,1332371245,8955950255,15864658936,10250043768
2012,RN,Nordeste,46412208354,5155177182,41257031173,1301903520,10261649494,18625292256,11068185908
2013,RN,Nordeste,51518456550,5614656084,45903800459,1484893697,10736593958,20935627094,12746685727
2014,RN,Nordeste,54022583912,5787575234,48235008684,1540754536,10559609525,22328626331,13806018267
2015,RN,Nordeste,57250866829,6066978799,51183888032,1638635380,10741879199,23931524546,14871848908
2016,RN,Nordeste,59677388846,6544360808,53133028045,1866107857,10096237892,25368840855,15801841451
2017,RN,Nordeste,64305995062,6916220807,57389774241,2160568032,10694795236,27524282530,17010128442
2018,RN,Nordeste,66969562002,7393851270,59575710740,2596771256,11372517802,28127590936,17478830746
2019,RN,Nordeste,71336780166,7469817982,63866962185,2694051634,11751480230,30468868813,18952561521
2020,RN,Nordeste,71577106819,7760852467,63816254339,3010587934,11811274272,29207941814,19786450313
2002,PB,Nordeste,12747021186,1358801304,11388219880,755986580,2224280212,4837137437,3570815642
2003,PB,Nordeste,14737919527,1517703227,13220216302,1032364300,2722250559,5358364310,4107237117
2004,PB,Nordeste,15757831545,1626542143,14131289403,990340390,2852351147,5721957529,4566640318
2005,PB,Nordeste,17557226323,1889744971,15667481345,1078055796,2872769834,6403852714,5312803003
2006,PB,Nordeste,20838016360,2160423027,18677593331,1202152908,3376302401,7902101448,6197036566
2007,PB,Nordeste,22909811457,2338826956,20570984498,1086279037,3567408973,9034763564,6882532928
2008,PB,Nordeste,26889573077,2744601267,24144971810,1300429573,4166873158,10500236058,8177433013
2009,PB,Nordeste,30230406110,2999832887,27230573217,1497659136,4800655281,11775584195,9156674615
2010,PB,Nordeste,33522491694,3669253026,29853238676,1384254972,5436505270,12653196578,10379281858
2011,PB,Nordeste,37109136669,4123990217,32985146449,1790051178,6165509047,13789511050,11240075185
2012,PB,Nordeste,42488349200,4816365783,37671983410,1541055884,7290419745,16339494249,12501013531
2013,PB,Nordeste,46377299274,5389719188,40987580091,1846079655,7333200576,17527279803,14281020055
2014,PB,Nordeste,52936483065,5939188347,46997294733,1817994893,7848846658,21602865027,15727588159
2015,PB,Nordeste,56141890254,6036450466,50105439797,1909724597,8607039443,22911275594,16677400164
2016,PB,Nordeste,59104781396,6266591256,52838190142,2170748288,8221271379,24893730098,17552440378
2017,PB,Nordeste,62396775525,6721299873,55675475649,2156214200,8436882077,26320314417,18762064945
2018,PB,Nordeste,64373595373,7164285881,57209309486,2263878743,8849561560,26869026420,19226842760
2019,PB,Nordeste,67986073550,7708854698,60277218850,2195701925,9255709183,28853476390,19972331356
2020,PB,Nordeste,70292034110,7824002200,62468031908,2823160239,10000792872,29024383962,20619694846
2002,PE,Nordeste,36056031634,4898097905,31157933723,1868672001,7117753916,14620101598,7551406198
2003,PE,Nordeste,38815845289,5329515661,33486329631,2207184383,6877064805,16100963282,8301117162
2004,PE,Nordeste,44982684107,6162420003,38820264117,2392008918,8757032873,18525132662,9146089655
2005,PE,Nordeste,50240325202,7372709332,42867615873,2826505250,8808945850,20623499523,10608665248
2006,PE,Nordeste,55485293016,8259263192,47226029823,3091104703,9056806461,22979310155,12098808504
2007,PE,Nordeste,62459325003,9421246548,53038078458,3127554222,10193201014,26196750130,13520573104
2008,PE,Nordeste,70413938532,10889547464,59524391071,3652344297,11526317318,28762201816,15583527657
2009,PE,Nordeste,79760958068,11870882875,67890075192,3758293177,13469279316,32752050980,17910451719
2010,PE,Nordeste,97189760476,14237268860,82952491615,3962413036,18191729744,40414575030,20383773809
2011,PE,Nordeste,110161558964,16517145799,93644413157,4145575669,20201514735,47072371065,22224951705
2012,PE,Nordeste,127989043344,19381371614,108607671730,3849507955,23879347856,56393176996,24485638930
2013,PE,Nordeste,141150251796,20254544969,120895706839,4245216704,26001240510,63686985761,26962263849
2014,PE,Nordeste,155142647932,21821976905,133320671026,4436619155,24795153384,73335371419,30753527065
2015,PE,Nordeste,156963667544,22464052356,134499615199,5221889115,26895494899,70388749330,31993481834
2016,PE,Nordeste,167345031244,23319650744,144025380500,6190757584,28374770069,74808731259,34651121587
2017,PE,Nordeste,181609500842,25277489754,156332011093,6036386291,32604235554,79635282568,38056106670
2018,PE,Nordeste,186351975251,26830372659,159521602589,6693462103,32358420260,80541005110,39928715113
2019,PE,Nordeste,197853378471,28900180187,168953198276,7551624546,33358615836,85871514365,42171443521
2020,PE,Nordeste,193307317290,28538208125,164769109171,8661859317,34048335567,79777759036,42281155237
2002,AL,Nordeste,11536852891,937933640,10598919245,2474313378,2168565501,3530694271,2425346094
2003,AL,Nordeste,12624030216,1115456700,11508573520,2185070817,2537174402,4059939329,2726388980
2004,AL,Nordeste,14044907468,1276780468,12768127007,2164046680,2900315986,4711689267,2992075066
2005,AL,Nordeste,15484521444,1439090372,14045431080,2279759751,3121062584,5223346433,3421262313
2006,AL,Nordeste,17395670950,1712921127,15682749825,2356543855,3397083224,5960495640,3968627097
2007,AL,Nordeste,19871265910,1909226105,17962039801,2308058602,4033313389,7111795091,4508872711
2008,AL,Nordeste,22262294595,2147558137,20114736463,3040140706,4235186260,7535560001,5303849498
2009,AL,Nordeste,24182387524,2290836644,21891550868,3344040655,3974045148,8625466815,5947998264
2010,AL,Nordeste,27133037860,2792806153,24340231700,2911125859,4708284780,10091647048,6629174010
2011,AL,Nordeste,31657320736,3127359002,28529961740,3030277679,6510252527,11548137223,7441294299
2012,AL,Nordeste,34650397469,3401469552,31248927919,2966360125,6245822589,13941950573,8094794624
2013,AL,Nordeste,37282529122,3574439703,33708089428,3494991651,5924941844,14931913960,9356241969
2014,AL,Nordeste,40974994014,3710904997,37264089016,4127595808,5945156176,17218289451,9973047590
2015,AL,Nordeste,46367210608,4106554195,42260656414,4866390544,6430147241,20327916522,10636202107
2016,AL,Nordeste,49468740909,4714082950,44754657956,6752098441,5541012703,20560758051,11900788758
2017,AL,Nordeste,52851066935,5045446563,47805620381,8493021249,6021793514,20912725006,12378080601
2018,AL,Nordeste,54413046658,5520770189,48892276472,8125048155,5869558661,21829083090,13068586577
2019,AL,Nordeste,58963728728,5931434761,53032293962,9459893055,6411652455,23729136025,13431612421
2020,AL,Nordeste,63202348928,6060837402,57141511516,12622357004,7391279855,22733527234,14394347424
2002,SE,Nordeste,10332493905,1062189810,9270304103,601192747,2978220720,3469750027,2221140605
2003,SE,Nordeste,11749573695,1191692948,10557880750,866165576,3521983964,3701329401,2468401804
2004,SE,Nordeste,13336257992,1258741181,12077516819,806033812,4056643290,4539873750,2674965966
2005,SE,Nordeste,14430118490,1490164560,12939953932,851974700,4119330799,4844757868,3123890565
2006,SE,Nordeste,16419797845,1696903165,14722894683,1044477663,4432589328,5403488958,3842338732
2007,SE,Nordeste,18218449648,1801326349,16417123297,1031969621,4991424616,6158439704,4235289352
2008,SE,Nordeste,21418377992,2070681350,19347696640,1385385193,6310651288,6680446082,4971214083
2009,SE,Nordeste,21707243228,2117886064,19589357166,1607891758,5241591066,7301374421,5438499927
2010,SE,Nordeste,26404893223,2718059430,23686833790,1511775214,6858592449,9004883838,6311582293
2011,SE,Nordeste,29108271857,3070370971,26037900886,1359470749,7732915421,10147234441,6798280283
2012,SE,Nordeste,32853180807,3494315078,29358865725,1496450133,8956934520,11623147431,7282333642
2013,SE,Nordeste,35335986073,3727323962,31608662117,1797382859,8076492543,13528257428,8206529290
2014,SE,Nordeste,37472431502,3807651699,33664779806,1761811314,8297844014,14542800019,9062324463
2015,SE,Nordeste,38556530458,4047957915,34508572550,1732538773,7849195045,15348259906,9578578820
2016,SE,Nordeste,38877438482,4125537525,34751900963,1725189808,6974076683,16188209375,9864425089
2017,SE,Nordeste,40711486162,4299330477,36412155680,1966337070,6968355124,16964188739,10513274748
2018,SE,Nordeste,42017981279,4736116226,37281865059,1420290531,7457822878,17568466651,10835284997
2019,SE,Nordeste,44689482882,4818217747,39871265137,2037646835,7863195173,18141108847,11829314276
2020,SE,Nordeste,45409656566,4721691528,40687965041,2583361937,8906254776,17160838997,12037509338
2002,BA,Nordeste,58842975944,8368251983,50474723959,6612124525,11847928358,22322715730,9691955360
2003,BA,Nordeste,67174226862,9315868990,57858357873,7611625563,14017834242,25425185909,10803712149
2004,BA,Nordeste,77931724707,11552157306,66379567393,8695861302,17166806513,28779620183,11737279408
2005,BA,Nordeste,88291882625,13369419930,74922462704,7732466235,20014166399,33157999769,14017830284
2006,BA,Nordeste,95347801942,14669452554,80678349379,7958330202,20683390171,36028130178,16008498825
2007,BA,Nordeste,109329527526,15239840384,94089687149,9836861645,22418319571,44026546766,17807959152
2008,BA,Nordeste,121667454628,17034698710,104632755904,10248862930,25845257029,48470973908,20067662040
2009,BA,Nordeste,137942480645,16805537187,121136943452,10605794955,30277240319,57017261201,23236646981
2010,BA,Nordeste,154419547376,19004541345,135415006031,10709344117,36739895080,62199712691,25766054140
2011,BA,Nordeste,166602816895,20875761754,145727055136,11886321129,34633631301,70147077595,29060025131
2012,BA,Nordeste,182572530053,23276635837,159295894227,12779208866,35141826200,79329536739,32045322419
2013,BA,Nordeste,204844273539,26582573296,178261700261,13102101871,36471348021,92134231979,36554018378
2014,BA,Nordeste,223929966172,27727123523,196202842649,15483991943,41143347750,99338759872,40236743073
2015,BA,Nordeste,245043689661,29057553075,215986136565,17854430057,47768326699,106058085398,44305294405
2016,BA,Nordeste,258738970256,30409628464,228329341794,16533810479,54109026890,111129517803,46556986636
2017,BA,Nordeste,268724090234,32586182265,236137907960,15826853041,53019800573,118105040796,49186213539
2018,BA,Nordeste,286239541110,35705701804,250533839302,19095907512,53968696886,126322349821,51146885083
2019,BA,Nordeste,293240503586,36771959788,256468543806,17488117389,56013541421,127392284303,55574600699
2020,BA,Nordeste,305320812691,37094030606,268226782074,28006935845,59491629932,122722534188,58005682122
